subref	form	norm	lemma	tag	curated
1@he	he	he			n
1@tied	tied	tied			n
1@up	up	up			n
1@the	the	the			n
1@horse	horse	horse			n
1@to	to	to			n
1@the[2]	the	the			n
1@ring	ring	ring			n
1@on	on	on			n
1@the[3]	the	the			n
1@temple	temple	temple			n
1@door	door	door			n
1@as	as	as			n
1@though	though	though			n
1@he[5]	he	he			n
1@were	were	were			n
1@handing	handing	handing			n
1@it	it	it			n
1@back	back	back			n
1@but	but	but			n
1@on[2]	on	on			n
1@the[4]	the	the			n
1@following	following	following			n
1@night	night	night			n
1@he[7]	he	he			n
1@contrived	contrived	contrived			n
1@to[2]	to	to			n
1@take	take	take			n
1@it[2]	it	it			n
1@away	away	away			n
1@Well	Well	well			n
1@the[5]	the	the			n
1@man	man	man			n
1@who	who	who			n
1@did	did	did			n
1@this	this	this			n
1@has	has	has			n
1@perished	perished	perished			n
1@by	by	by			n
1@the[6]	the	the			n
1@most	most	most			n
1@painful	painful	painful			n
1@death	death	death			n
1@of	of	of			n
1@hunger	hunger	hunger			n
1@for	for	for			n
1@although	although	although			n
1@plenty	plenty	plenty			n
1@of[2]	of	of			n
1@good	good	good			n
1@things	things	things			n
1@were[2]	were	were			n
1@set	set	set			n
1@on[4]	on	on			n
1@the[7]	the	the			n
1@table	table	table			n
1@before	before	before			n
1@him	him	him			n
1@he[12]	he	he			n
1@found	found	found			n
1@that	that	that			n
1@the[8]	the	the			n
1@bread	bread	bread			n
1@and[2]	and	and			n
1@cake	cake	cake			n
1@had	had	had			n
1@a[18]	a	a			n
1@vile	vile	vile			n
1@odor	odor	odor			n
1@and[3]	and	and			n
1@he[14]	he	he			n
1@was	was	was			n
1@unable	unable	unable			n
1@to[3]	to	to			n
1@eat[2]	eat	eat			n
2@This	This	this			n
2@fact	fact	fact			n
2@a[2]	a	a			n
2@number	number	number			n
2@of	of	of			n
2@us	us	us			n
2@heard	heard	heard			n
2@stated	stated	stated			n
2@by	by	by			n
2@the	the	the			n
2@priest	priest	priest			n
2@in	in	in			n
2@charge	charge	charge			n
2@of[2]	of	of			n
2@the[2]	the	the			n
2@rites	rites	rites			n
3@I	I	i			n
3@therefore	therefore	therefore			n
3@think	think	think			n
3@it	it	it			n
3@just	just	just			n
3@that	that	that			n
3@I[2]	I	i			n
3@should	should	should			n
3@now	now	now			n
3@recall	recall	recall			n
3@in[2]	in	in			n
3@connection	connection	connection			n
3@with	with	with			n
3@the[2]	the	the			n
3@accused	accused	accused			n
3@the[3]	the	the			n
3@statements	statements	statements			n
3@made	made	made			n
3@at[3]	at	at			n
3@that[2]	that	that			n
3@time	time	time			n
3@and	and	and			n
3@that[3]	that	that			n
3@not	not	not			n
3@only	only	only			n
3@should[2]	should	should			n
3@his	his	his			n
3@friends	friends	friends			n
3@perish	perish	perish			n
3@by	by	by			n
3@his[2]	his	his			n
3@act	act	act			n
3@and[2]	and	and			n
3@his[3]	his	his			n
3@information	information	information			n
3@but	but	but			n
3@he[4]	he	he			n
3@himself	himself	himself			n
3@too	too	too			n
3@should[3]	should	should			n
3@perish[2]	perish	perish			n
3@by[2]	by	by			n
3@the[4]	the	the			n
3@action	action	action			n
3@of	of	of			n
3@another	another	another			n
3@It	It	it			n
3@is[6]	is	is			n
3@impossible	impossible	impossible			n
3@for[3]	for	for			n
3@you	you	you			n
3@on[6]	on	on			n
